"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7876","should navigate to the ""Create New User"" page","","Fri Nov 29 16:13:35 WITA 2024","passed","Fri Nov 29 16:13:42 WITA 2024","","Add Page User Management","Add Page User Management","should navigate to the ""Create New User"" page"
"","10422","should create a new category","","Fri Nov 29 16:10:07 WITA 2024","passed","Fri Nov 29 16:10:17 WITA 2024","","Add Category Creation","Add Category Creation","should create a new category"
"","7992","should navigate to the News page","","Fri Nov 29 16:12:36 WITA 2024","passed","Fri Nov 29 16:12:44 WITA 2024","","Admin Page Tests add News create","Admin Page Tests add News create","should navigate to the News page"
"","9802","should navigate to the Users page","","Fri Nov 29 16:13:25 WITA 2024","passed","Fri Nov 29 16:13:35 WITA 2024","","Add Page User Management","Add Page User Management","should navigate to the Users page"
"","17775","should create a new news article","","Fri Nov 29 16:12:44 WITA 2024","passed","Fri Nov 29 16:13:02 WITA 2024","","Admin Page Tests add News create","Admin Page Tests add News create","should create a new news article"
"","39316","should cancel creating a new category","","Fri Nov 29 16:10:17 WITA 2024","passed","Fri Nov 29 16:10:57 WITA 2024","","Add Category Creation","Add Category Creation","should cancel creating a new category"
"","7322","should log in successfully","","Fri Nov 29 16:12:20 WITA 2024","passed","Fri Nov 29 16:12:28 WITA 2024","","Admin Page Login","Admin Page Login","should log in successfully"
"","6646","should log in successfully with valid credentials","","Fri Nov 29 16:12:29 WITA 2024","passed","Fri Nov 29 16:12:36 WITA 2024","","Admin Page Tests Login Tests","Admin Page Tests Login Tests","should log in successfully with valid credentials"
"","20793","should create another type of news article","","Fri Nov 29 16:13:02 WITA 2024","passed","Fri Nov 29 16:13:23 WITA 2024","","Admin Page Tests add News create","Admin Page Tests add News create","should create another type of news article"
"","10228","should navigate to the Categories page","","Fri Nov 29 16:09:48 WITA 2024","passed","Fri Nov 29 16:09:58 WITA 2024","","Add Category Management","Add Category Management","should navigate to the Categories page"
"","20618","should open ""New Gallery"" form and fill it","","Fri Nov 29 16:11:10 WITA 2024","passed","Fri Nov 29 16:11:31 WITA 2024","","add Page Photo-Galleries Create New Gallery","add Page Photo-Galleries Create New Gallery","should open ""New Gallery"" form and fill it"
"","42448","should create a new user and then cancel the operation","","Fri Nov 29 16:13:43 WITA 2024","passed","Fri Nov 29 16:14:25 WITA 2024","","Page Create New User","Page Create New User","should create a new user and then cancel the operation"
"","10952","should login and navigate to Galleries page","","Fri Nov 29 16:10:59 WITA 2024","passed","Fri Nov 29 16:11:10 WITA 2024","","Add Page Photo-Galleries Menu Management","Add Page Photo-Galleries Menu Management","should login and navigate to Galleries page"
"","47538","should create a new gallery and edit its title","","Fri Nov 29 16:11:31 WITA 2024","passed","Fri Nov 29 16:12:18 WITA 2024","","Photo-Galleries Edit Gallery","Photo-Galleries Edit Gallery","should create a new gallery and edit its title"
"","8296","should navigate to the ""Create New Category"" page","","Fri Nov 29 16:09:58 WITA 2024","passed","Fri Nov 29 16:10:07 WITA 2024","","Add Category Creation","Add Category Creation","should navigate to the ""Create New Category"" page"
